Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_KillChallenger,57,171,4.02,6.9,3.2,6.1,170.0,17725,10805,110
Challenger,54,96,2.84,6.9,4.7,6.4,180.6,19899,11269,58
Grandmaster,52,614,2.68,5.1,6.1,11.2,58.4,20899,9523,251
Grandmaster,56,130,2.82,6.5,4.6,6.4,171.4,19844,10598,109
Grandmaster,57,1342,2.49,8.2,6.2,7.2,128.9,18236,10852,1755
Challenger,58,1225,2.9,8.4,5.3,7.0,159.9,17753,11413,1349
Grandmaster,49,92,3.27,7.6,4.7,7.6,165.1,16028,11447,78
Master,60,365,2.42,6.9,4.6,4.3,178.7,16925,11903,327
Grandmaster,53,176,2.87,1.4,5.2,13.5,31.1,5895,6982,4
Master,58,509,3.41,7.7,4.7,8.3,204.2,21320,12416,637
Grandmaster,70,133,3.67,12.5,5.2,6.4,194.1,24853,13617,271
Master,51,55,3.25,7.1,4.6,7.8,185.5,17430,11421,38
Grandmaster,57,329,3.68,6.3,3.8,7.9,188.7,15636,11318,254
Challenger,63,60,2.67,7.2,5.2,6.7,208.0,23193,11872,41
Master,64,58,4.03,2.7,4.1,13.8,23.4,11014,7832,9
Grandmaster,53,1394,4.04,2.0,4.0,14.2,9.4,7055,7256,102
Grandmaster,49,105,2.43,5.1,4.2,5.2,203.4,19088,11238,56
Master,57,122,2.78,7.6,5.3,7.1,154.9,15938,11393,142
Grandmaster,54,398,2.85,1.6,5.3,13.4,30.7,6019,7089,11
Grandmaster,55,336,5.18,2.5,2.8,12.1,109.9,6336,8484,37
Unranked,60,63,3.6,2.1,4.6,14.4,37.6,5806,7503,4
Grandmaster,62,176,3.06,6.4,3.6,4.5,223.7,15359,12365,147
Grandmaster,56,490,2.42,4.6,5.3,8.3,161.9,16138,10239,181
Master,51,1739,1.78,7.7,6.7,4.3,209.4,22214,12459,1229
Grandmaster,56,468,2.28,6.1,4.7,4.7,188.0,15106,11254,321
Grandmaster,55,195,3.9,6.3,3.6,7.8,204.7,16280,11647,183
Grandmaster,75,48,4.26,2.8,5.5,20.6,10.9,9152,8570,4
Grandmaster,59,39,3.44,7.0,4.4,8.1,186.9,20324,11397,35
Grandmaster,55,366,2.57,7.2,5.0,5.6,182.4,19289,11232,249
Grandmaster,57,167,2.92,3.0,5.0,11.7,45.2,12414,8113,25
Master,53,252,2.15,8.1,6.4,5.6,195.7,19367,12208,218
Unranked,65,103,4.53,2.0,4.0,16.0,17.5,7227,7972,5
Grandmaster,68,19,3.19,6.7,3.5,4.5,231.3,14524,12419,21
Grandmaster,57,274,3.74,1.7,4.2,14.1,18.7,7431,7469,7
Diamond,60,37,2.6,7.5,4.7,4.8,203.6,20856,12201,37
Unranked,57,217,2.48,7.8,5.8,6.6,159.7,18139,11272,289
Master,57,354,1.99,8.9,6.8,4.7,174.0,20012,12342,640
Grandmaster,64,428,2.19,7.7,5.6,4.6,188.7,20519,12132,395
Master,49,272,3.3,7.9,4.4,6.5,158.6,15415,11351,317
Master,55,66,2.72,4.8,4.4,7.2,195.0,18620,10846,24
Master,61,127,3.15,4.0,5.3,12.7,44.6,15180,9370,44
Grandmaster,71,55,4.85,5.1,3.3,10.9,164.7,14069,10068,21
Master,48,85,2.23,7.4,5.5,4.9,161.7,17110,10636,74
Grandmaster,54,755,3.06,7.8,5.1,7.9,131.8,16438,10674,493
Grandmaster,60,62,4.07,6.7,3.8,8.6,195.2,18137,11535,33
Grandmaster,54,232,2.87,5.5,4.3,6.9,212.6,17266,11626,154
Master,54,336,3.15,2.6,4.0,9.9,22.3,17675,7588,41
Master,53,66,2.38,7.1,5.3,5.6,190.9,17671,11830,59
Master,57,470,1.94,5.7,5.1,4.3,184.9,17217,11365,231
Grandmaster,59,121,5.11,4.1,2.5,8.6,193.5,13465,11179,40
Unranked,60,298,2.16,8.8,8.4,9.4,202.3,27630,12791,404
