Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_Kill
Master,61,487,4.63,5.2,3.5,11.2,141.5,14163,10389,214
Master,52,904,2.7,5.2,5.8,10.4,122.4,14037,9353,368
Master,62,180,3.0,8.8,5.1,6.6,176.4,18963,12301,230
Unranked,55,91,2.63,8.7,5.3,5.1,173.4,18656,11762,62
Master,59,242,2.35,11.8,7.3,5.3,174.5,24808,13757,310
Master,56,229,2.44,7.4,5.7,6.6,175.6,18427,11336,185
Master,55,280,3.14,7.0,4.3,6.6,156.6,16420,10626,192
Master,51,116,2.72,8.1,5.2,6.0,204.3,18453,12310,137
Master,57,158,3.07,8.0,4.2,5.0,167.3,19388,11262,153
Master,62,177,2.28,8.7,6.5,6.2,186.6,21539,13184,288
Master,57,289,2.2,5.9,5.2,5.6,166.2,18789,11230,198
Master,50,118,2.25,7.8,5.4,4.4,217.1,18892,12444,158
Master,59,123,2.09,6.6,8.3,10.8,39.9,22427,9922,51
Master,59,660,2.95,7.9,4.8,6.3,170.6,18169,11433,779
Unranked,57,242,3.07,7.9,4.9,7.1,162.0,15518,11467,171
Master,55,790,3.53,2.4,4.9,14.8,15.3,9224,8000,75
Master,54,41,2.28,8.0,6.0,5.8,203.7,22307,12664,62
Master,51,553,1.78,6.0,5.9,4.4,201.3,15541,11766,365
Unranked,54,160,2.79,5.2,4.1,6.2,195.5,18008,10978,105
Master,52,556,2.67,1.7,4.7,10.9,33.3,5296,7091,28
Challenger,57,171,4.02,6.9,3.2,6.1,170.0,17725,10805,110
Challenger,58,626,2.7,7.5,5.3,6.7,190.4,18080,11840,647
Challenger,63,51,1.79,7.7,7.1,4.9,210.4,19709,12350,53
Challenger,52,220,2.38,5.8,5.3,6.7,209.4,21095,11597,88
Challenger,56,445,2.81,6.9,4.9,7.0,175.4,18767,11455,395
Challenger,62,148,3.16,8.4,4.4,5.4,203.1,18709,12174,206
Challenger,66,165,5.29,5.7,2.5,7.5,172.9,18992,10399,79
Challenger,60,257,3.19,8.0,4.7,7.0,170.6,18965,11151,251
Challenger,57,1016,2.32,6.5,5.4,6.1,161.7,18909,10537,684
Challenger,53,192,3.29,6.2,4.0,7.0,178.8,19640,10886,110
Challenger,64,53,2.43,6.2,4.8,5.4,183.7,17304,11353,37
Challenger,56,590,3.47,2.9,4.1,11.2,127.9,12397,8598,80
Challenger,52,2047,3.96,1.4,3.7,13.4,34.2,4812,6983,96
Master,57,133,3.41,9.7,4.7,6.3,174.0,21334,12046,254
Unranked,66,35,2.53,1.5,6.0,13.7,33.9,5752,7144,2
Master,56,411,2.37,7.3,5.4,5.6,181.6,19035,11606,282
Master,70,60,2.4,10.1,8.6,10.6,61.9,23724,11324,63
Master,52,218,1.8,5.0,5.0,3.9,184.9,17178,11006,87
Master,59,98,3.31,6.7,4.2,7.2,195.2,18665,11788,52
Challenger,50,48,2.76,11.4,6.3,6.0,170.4,23546,12770,55
Challenger,52,199,2.97,4.9,4.9,9.7,38.9,8151,9575,108
Challenger,57,184,1.92,5.1,4.9,4.2,211.2,17346,11609,96
Challenger,66,64,3.12,9.1,5.5,7.9,196.9,29241,12542,101
Challenger,60,269,4.21,1.6,3.7,13.9,17.4,5846,7292,19
Challenger,58,116,3.24,6.2,3.9,6.4,200.3,22708,11474,115
Challenger,57,28,2.25,11.1,9.3,9.8,208.3,33849,14093,58
Unranked,56,372,3.76,1.8,4.5,14.9,32.4,5619,7352,14
Unranked,58,80,2.31,11.7,8.2,7.2,191.3,28427,14120,160
Master,57,104,2.0,9.8,8.0,6.2,176.1,22305,12701,185
Master,69,179,3.99,12.8,4.9,6.9,190.5,25946,13697,685
Master,55,38,3.61,7.7,4.4,8.2,192.1,20531,12374,39
Master,51,183,2.41,1.5,6.2,13.4,32.9,6161,7228,5
Master,57,162,2.39,5.4,4.7,5.8,168.6,17295,10437,77
Master,58,64,3.38,1.6,4.6,14.0,35.3,6282,7509,1
Master,77,39,4.6,6.6,3.4,9.2,218.3,18513,12239,27
Master,58,113,3.36,8.3,4.0,5.1,158.1,16723,11049,125
Master,52,599,2.29,4.9,6.6,10.2,42.3,18721,8995,210
Unranked,52,188,3.37,1.7,4.5,13.5,32.7,6159,7226,7
Master,58,79,2.41,5.9,5.4,7.2,184.8,17289,11447,50
Master,60,89,3.99,7.3,3.6,7.0,196.5,17285,12206,90
Challenger,50,105,2.3,5.8,5.3,6.3,201.7,19304,11438,95
Challenger,71,62,3.94,7.3,4.1,9.0,138.8,15469,11125,39
Challenger,64,199,2.75,6.1,4.0,4.8,192.7,15575,11549,120
Challenger,56,1117,3.84,2.3,4.1,13.5,29.5,10136,7897,113
Challenger,41,37,1.64,6.8,6.3,3.6,214.6,18239,11940,36
Challenger,60,257,3.19,8.0,4.7,7.0,170.6,18965,11151,251
Challenger,58,342,2.74,3.9,4.5,8.5,176.3,15681,10511,88
Challenger,57,190,2.87,5.5,3.8,5.3,193.7,15170,11154,101
Challenger,57,184,1.92,5.1,4.9,4.2,211.2,17346,11609,96
Challenger,59,496,5.02,2.0,3.4,15.1,26.0,8074,8020,31
Challenger,66,64,3.12,9.1,5.5,7.9,196.9,29241,12542,101
Challenger,61,372,2.68,6.3,4.1,4.6,210.9,16249,11890,287
Challenger,60,137,2.76,6.7,4.8,6.6,198.0,23217,11635,159
